 ,open goals,nodes,branches,symExApps,time (avg over 5 runs),
feature,0,8101,136,624,9644,
family,10,18350,245,897,19966,
optimized product,0,21400,281,1043,23731,
feature-family (heuristic),0,24116,311,1160,26886,
feature-family (avg),0,24217,313,1164,26168,
feature-product,0,25921,348,1273,28834,
unoptimized product,0,148528,1964,6916,157691,
,,,,,,
 ,open goals,nodes,branches,symExApps,time (avg over 3 runs),Score
6,0,23794,303,1141,24987,15
4,0,24091,311,1160,25961,13
10,0,24116,311,1160,26119,10
13,0,24122,311,1160,27166,14
11,0,24133,311,1160,25945,14
14,0,24144,311,1160,25280,14
5,0,24152,311,1160,28630,14
12,0,24155,311,1160,25921,14
8,0,24158,311,1160,25967,13
7,0,24169,311,1160,25893,13
2,0,24430,319,1179,25910,12
9,0,24491,319,1179,26392,13
1,0,24528,319,1179,26548,12
3,0,24550,319,1179,25639,12
avg,0,24217,313,1164,26168,
dev,0,201,4,11,847,
